rank,Youtuber,subscribers_1000s,video_views_1000s,video count,category,started
432,SUPER SLICK SLIME SAM,18100.0,6613216.192,826,Howto & Style,2018
433,David Dobrik,18000.0,7137075.817,536,People & Blogs,2014
434,Ben Azelart,18000.0,3406507.027,269,Film & Animation,2014
435,GRAMMY GOLD OFFICIAL,18000.0,19218103.217,5981,Music,2014
436,RsiamMusic : อาร์สยาม,18000.0,11265706.005,2788,Music,2011
437,Demi Lovato,17900.0,6710228.028,302,Music,2008
438,officialpsy,17800.0,10323395.067,123,Music,2010
439,Lil Pump,17800.0,4156827.356,60,Music,2015
440,Goldmines Great Indian Comedy,17800.0,4768514.287,2287,Film & Animation,2016
441,Sidemen,17800.0,4824688.769,290,Entertainment,2015
442,TheGrefg,17800.0,6242530.357,3430,Gaming,2012
443,Akshay Nagwadiya,17800.0,6344896.74,437,Entertainment,2017
444,ArianaGrandeVevo,17800.0,19592103.052,177,Music,2010
445,Mother Goose Club Playhouse,17800.0,15889302.511,1362,Shows,2009
446,Dhar Mann,17800.0,10240630.223,788,People & Blogs,2018
447,Sebastián Yatra,17800.0,9953584.422,223,News & Politics,2013
448,Dangal TV Channel,17800.0,9679166.265,14206,Entertainment,2017
449,Lele Pons,17800.0,5082032.317,190,Comedy,2015
450,RobleisIUTU,17700.0,4972348.782,1214,Entertainment,2013
451,Shemaroo Comedy,17700.0,5575115.713,3956,Entertainment,2007
452,Fede Vigevani,17700.0,5744576.728,950,Howto & Style,2009
453,SQUEEZIE,17700.0,9635611.834,1498,Gaming,2011
454,FactTechz,17600.0,2180115.424,633,Entertainment,2016
455,JFlaMusic,17600.0,3748313.885,316,Music,2011
456,شبكة العاب العرب | Arab Games Network,17600.0,8265548.794,5887,Gaming,2013
457,Porta dos Fundos,17600.0,7530426.289,2096,Entertainment,2012
458,Manual do Mundo,17500.0,3720265.603,2277,Howto & Style,2006
459,Smile Family Spanish,17500.0,6680594.543,396,,2019
460,Triggered Insaan,17500.0,2903866.51,279,Comedy,2014
461,Stubborn Facts,17400.0,886168.36,258,Film & Animation,2016
462,Tsuriki Show,17400.0,25200500.092,2225,Entertainment,2019
463,Zuni and Family,17400.0,6434682.555,191,People & Blogs,2017
464,李子柒 Liziqi,17300.0,2892717.953,128,Howto & Style,2017
465,SonyMusicSouthVEVO,17300.0,16610357.471,5427,Music,2014
466,Jane ASMR 제인,17300.0,6962478.423,1742,,2012
467,Liza Koshy,17200.0,2608003.742,189,Comedy,2013
468,الـريماس - Al-Remas,17200.0,11017933.816,2110,Music,2013
469,Miley Cyrus,17200.0,6794230.62,131,Entertainment,2009
470,SMOL,17200.0,18326807.406,2913,People & Blogs,2021
471,IGN,17200.0,15357011.434,152780,Gaming,2006
472,PopularMMOs,17200.0,14529348.204,4685,Gaming,2012
473,Blippi - Educational Videos for Kids,17200.0,14053676.405,573,Education,2014
474,Jason Derulo,17200.0,9187185.938,500,Music,2008
475,Spider Slack,17100.0,10260333.305,699,Comedy,2020
476,HowToBasic,17100.0,3622675.723,568,Howto & Style,2011
477,tanboy kun,17100.0,3384574.856,666,People & Blogs,2016
478,Busy Fun Ltd,17100.0,6822334.948,177,,2019
479,Willyrex,17100.0,4918074.565,7211,Gaming,2009
480,KatieAngel,17000.0,49.471,20,People & Blogs,2015
481,LuisFonsiVEVO,17000.0,14279324.694,96,Music,2009
482,zbing z.,17000.0,8799801.177,2962,Gaming,2014
483,Azhan5star,17000.0,8468682.789,522,Entertainment,2021
484,Gaby and Alex,17000.0,8056420.901,354,Entertainment,2012
485,Wow Kidz Action,17000.0,7445847.73,1530,Film & Animation,2017
486,Anitta,17000.0,7037263.03,112,Music,2011
487,EeOneGuy,17000.0,3817561.177,366,Entertainment,2013
488,MissaSinfonia,16900.0,2118720.175,231,Comedy,2011
489,Guava Juice,16900.0,8969546.576,1861,Gaming,2006
490,News24,16900.0,7319881.631,189834,News & Politics,2014
491,TheBrianMaps,16800.0,4265230.568,488,Comedy,2012
492,Apple,16800.0,969177.475,204,Science & Technology,2005
493,And TV,16800.0,13255036.707,28821,Entertainment,2015
494,Doggy Doggy Cartoons,16800.0,6502485.075,4723,Entertainment,2012
495,Prajapati News,16700.0,964413.171,1258,Comedy,2013
496,Tu COSMOPOLIS,16700.0,4991618.894,7779,People & Blogs,2014
497,Les' Copaque Production,16700.0,8409888.832,1540,Film & Animation,2009
498,DeToxoMoroxo,16700.0,2258966.19,518,Entertainment,2012
499,TRANS TV Official,16700.0,9361192.69,137880,Entertainment,2014
500,Jason Vlogs,16700.0,8354046.246,719,Education,2015
501,Queen Official,16700.0,10329648.817,934,Music,2008
502,El Reino a Jugar,16700.0,10886179.685,933,Education,2015
503,Like Nastya VNM,16700.0,9135939.018,522,Entertainment,2019
504,Werever2morro,16600.0,2789805.508,973,Entertainment,2007
505,Marques Brownlee,16600.0,3346350.366,1514,Science & Technology,2008
506,VICE,16600.0,4432620.329,3793,Entertainment,2005
507,AMARINTV : อมรินทร์ทีวี,16600.0,11946066.653,103178,Entertainment,2014
508,PANDA BOI,16600.0,10978514.53,811,Entertainment,2020
509,The Game Theorists,16500.0,3502513.997,595,Gaming,2009
510,Sagawa /さがわ,16500.0,14001058.156,4736,Entertainment,2021
511,IDEAS EN 5 MINUTOS,16500.0,3613070.653,5101,Howto & Style,2017
512,FailArmy,16400.0,2514143.503,387,Comedy,2011
513,Travis Scott,16400.0,7599414.93,13,Music,2013
514,Aayu and Pihu Show,16400.0,8575036.664,397,Comedy,2017
515,Pop Chartbusters,16400.0,8284139.136,2189,Music,2011
516,Gato Galactico | GALÁXIA,16300.0,6032712.975,2406,Film & Animation,2013
517,ExtraPolinesios,16300.0,4763666.931,494,People & Blogs,2012
518,W2S,16300.0,4744875.477,652,Gaming,2012
519,Kaykai Salaider,16300.0,4364086.851,412,Comedy,2011
520,Sandra Cires Art,16300.0,3858117.254,1072,Howto & Style,2011
521,JJ Olatunji,16200.0,3933885.901,1246,Gaming,2011
522,Boyce Avenue,16200.0,6424453.828,450,Music,2007
523,Ivana Alawi,16200.0,1245331.431,164,,2018
524,With Kids[위드키즈],16200.0,8535300.43,872,Entertainment,2012
525,Little Mix,16200.0,7310738.704,278,Music,2011
526,FunFun Toy Doll TV,16100.0,7215946.281,718,Entertainment,2016
527,Matt Stonie,16100.0,3426364.787,420,Entertainment,2012
528,Like Nastya IDN,16100.0,6919712.423,492,Entertainment,2019
529,Antrax,16100.0,2999284.141,676,Gaming,2015
530,Canal IN,16100.0,2641964.741,723,People & Blogs,2017
531,Pitbull,16100.0,12017304.232,332,Music,2006
532,Kids Play,16100.0,7905412.379,570,Entertainment,2018
533,Camila Cabello,16100.0,6374836.64,80,Music,2015
534,SAM SMITH,16000.0,9589121.015,186,Music,2012
535,El Payaso Plim Plim,16000.0,14587080.403,1117,Film & Animation,2013
536,RCTI - LAYAR DRAMA INDONESIA,16000.0,12822430.882,65543,Entertainment,2015
537,Jennifer Lopez,16000.0,9895047.195,234,Music,2005
538,AdMe,15900.0,4271084.514,5922,Entertainment,2015
539,Lahari Music | T-Series,15900.0,11273896.598,8516,Music,2011
540,DopeLyrics,15900.0,9901169.197,1987,Music,2016
541,Enes Batur,15900.0,9643946.0,1986,Gaming,2012
542,SriBalajiMovies,15900.0,8713368.302,17486,Entertainment,2011
543,FitDance,15900.0,6891528.931,4186,Music,2013
544,jeffreestar,15900.0,2595658.59,433,Howto & Style,2006
545,T3ddy,15800.0,2791830.112,1813,Comedy,2012
546,Technoblade,15800.0,1578965.229,989,Gaming,2013
547,wifistudy,15800.0,2937830.274,49294,Education,2014
549,Dyland PROS,15800.0,1407345.308,2323,Entertainment,2015
550,MSA previously My Story Animated,15800.0,7130351.289,973,Film & Animation,2019
551,News18 India,15700.0,5926833.645,153437,News & Politics,2007
552,Camilo,15700.0,6469727.893,121,Music,2010
553,NMF News,15700.0,6873330.195,103590,News & Politics,2013
554,Rotten Tomatoes Trailers,15700.0,12962938.026,9983,Film & Animation,2011
555,GMMTV OFFICIAL​​,15700.0,11682872.276,21957,Entertainment,2010
556,Ch7HD,15700.0,8849729.818,48268,Entertainment,2010
557,Caeli YT,15600.0,1510789.875,551,Entertainment,2010
558,POPS Kids,15600.0,9669962.536,4629,Music,2014
559,Marta and Rustam,15600.0,16536235.096,587,Comedy,2021
560,Aphmau,15600.0,15448285.4,4207,Gaming,2012
561,LEGO,15600.0,19810353.833,29629,Entertainment,2005
562,BBC News Hindi,15600.0,6404127.861,18882,News & Politics,2009
563,Дима Масленников,15600.0,2238740.145,412,Entertainment,2014
564,IShowSpeed,15500.0,1206227.947,1226,Gaming,2016
565,Thairath Online,15500.0,13475556.103,227687,News & Politics,2010
566,La Rosa de Guadalupe,15500.0,8972057.024,6806,Entertainment,2015
567,CoryxKenshin,15500.0,6538909.466,1675,Gaming,2009
568,Zach King,15400.0,2527115.243,411,Entertainment,2013
569,TWICE,15400.0,4468951.244,1011,Music,2016
570,5-Minute Crafts FAMILY,15400.0,5910228.587,3848,People & Blogs,2018
571,Volga Video,15400.0,9541516.501,19583,Film & Animation,2012
572,MK MUSIC,15400.0,8484959.131,4870,Music,2010
573,Roman Atwood Vlogs,15400.0,5463271.218,1750,People & Blogs,2013
574,Super Senya,15400.0,5009344.207,493,Entertainment,2016
575,Kerajinan 5-Menit,15300.0,4597453.328,3818,People & Blogs,2018
576,Totoy kids - Español,15300.0,5500547.423,318,Film & Animation,2017
577,Talking Tom & Friends,15300.0,6403713.539,409,Entertainment,2010
578,Bollywood Classics,15300.0,6545852.365,1280,Entertainment,2011
579,Ajay Sharma,15300.0,10878870.803,777,Entertainment,2012
580,حِرف إبداعية في 5 دقائق,15300.0,4353882.698,4836,Howto & Style,2017
581,LOKESH GAMER,15300.0,1595486.786,1286,Gaming,2017
582,Henrique e Juliano,15300.0,13658656.114,314,Music,2009
583,Taarak Mehta Ka Ooltah Chashmah,15300.0,9432010.394,3602,Entertainment,2014
584,Harsh Beniwal,15200.0,1725331.553,162,Comedy,2015
585,Musas,15200.0,2378035.117,612,Howto & Style,2012
586,zayn,15200.0,4740235.827,14,Music,2016
587,Team Films Bhojpuri,15200.0,6429404.34,20123,Music,2014
588,Linus Tech Tips,15200.0,6628286.92,6067,Science & Technology,2008
589,LeoNata Family,15200.0,20845361.002,1813,People & Blogs,2021
590,Oyuncak Avı,15200.0,8258483.459,636,Entertainment,2014
591,Ranz Kyle,15100.0,1729639.694,509,People & Blogs,2008
592,TheRichest,15100.0,2937729.788,2263,Education,2014
593,Arif muhammad,15100.0,3762970.145,485,People & Blogs,2017
594,Makiman131,15100.0,4195701.424,2989,Gaming,2013
595,Zee Music Classic,15100.0,5524330.531,1423,Music,2014
596,Vlad and Niki ARA,15100.0,6984770.587,460,,2019
597,AdeleVEVO,15100.0,11961913.255,52,Music,2009
598,Dave and Ava - Nursery Rhymes and Baby Songs,15100.0,10263976.359,784,Education,2014
599,Unspeakable,15100.0,8300725.061,717,Gaming,2016
600,Niana Guerrero,15000.0,1426377.423,421,Entertainment,2013
601,Mariale,15000.0,2676472.114,2108,Howto & Style,2010
602,Mobile Legends: Bang Bang Official,15000.0,3003401.226,3205,Gaming,2016
603,BIGBANG,15000.0,7603148.205,776,Music,2005
604,League of Legends,15000.0,6934669.02,1324,Gaming,2009
605,NDTV India,15000.0,6281042.518,77753,News & Politics,2008
606,Lyna,15000.0,6206556.582,4692,Gaming,2014
607,Daftar Populer,14900.0,2030112.152,3385,Education,2017
608,MY FAMILY,14900.0,5882558.854,240,,2019
609,ERB,14900.0,3974590.384,86,Entertainment,2006
610,НТВ,14900.0,439.098,1,People & Blogs,2008
611,Kwebbelkop,14900.0,6770389.882,5124,Gaming,2008
612,Zé Neto e Cristiano,14800.0,10816186.67,277,Music,2012
613,Blippi Español,14800.0,8435738.714,514,People & Blogs,2017
614,iTownGamePlay *Terror&Diversión*,14800.0,4887786.914,8065,Entertainment,2012
615,Genierock,14800.0,14036280.036,1619,Music,2008
616,Lachlan,14800.0,5144099.178,3760,Gaming,2013
617,Yoeslan,14800.0,12553165.365,424,Entertainment,2020
618,How Ridiculous,14800.0,7127280.171,612,Sports,2009
619,UFC - Ultimate Fighting Championship,14800.0,6066322.037,13328,Sports,2006
620,It's Mamix,14800.0,1693171.06,210,People & Blogs,2017
621,Dear Sir,14700.0,1160924.143,546,Education,2016
622,Bispo Bruno Leonardo,14700.0,2746132.392,4236,Nonprofits & Activism,2016
623,MattyBRaps,14700.0,3451854.561,189,Music,2010
624,The Slow Mo Guys,14700.0,2421458.813,307,Entertainment,2010
625,CNN,14700.0,13257860.003,157868,News & Politics,2005
626,Reaction Time,14700.0,4250922.976,1691,Entertainment,2015
627,Planeta das Gêmeas,14700.0,4570201.646,932,People & Blogs,2015
628,Fueled By Ramen,14700.0,13015835.351,1201,Music,2006
629,Jake Fellman,14700.0,11306122.163,433,Entertainment,2012
630,Major Lazer Official,14700.0,9144115.122,422,Music,2009
631,Jorge & Mateus Oficial,14700.0,8585503.807,316,Music,2008
632,Kuplinov ► Play,14700.0,6312776.994,6496,Gaming,2012
633,Maha Fun Tv,14600.0,1241494.398,45,Entertainment,2017
634,XpressTV,14600.0,3790276.92,666,Entertainment,2014
635,FC Barcelona,14600.0,2427992.794,10448,Sports,2006
636,Canal Nostalgia,14600.0,1472612.152,421,Entertainment,2008
637,CollegeHumor,14600.0,7424420.678,4240,Comedy,2006
638,حقائق وأسرار,14600.0,2208511.45,1348,Entertainment,2016
639,les boys tv2,14600.0,4528470.556,444,Entertainment,2017
640,ABS-CBN News,14600.0,9980315.489,184294,News & Politics,2009
641,O Canal do Joãozinho - Little Angel Português,14600.0,8234840.331,713,Entertainment,2018
642,Daily Dose Of Internet,14600.0,4858554.612,471,Entertainment,2015
643,Hongyu ASMR 홍유,14600.0,4772386.317,591,People & Blogs,2018
644,Jordan Matter,14600.0,4659880.424,389,Entertainment,2006
645,PlayStation,14600.0,4507739.143,19043,Gaming,2005
646,IDEIAS INCRÍVEIS,14600.0,3530205.556,5087,Howto & Style,2017
647,Lilly Singh,14600.0,3490725.951,929,Comedy,2010
648,LEGENDA FUNK,14500.0,1317024.775,2390,Music,2013
649,Kim Loaiza,14500.0,1369622.044,15,Music,2019
650,CrashCourse,14500.0,1774589.28,1459,Education,2006
651,Gyan Gamingㅤ,14500.0,2177951.697,2785,Gaming,2017
652,DM - Desi Melodies,14500.0,5418920.377,56,Music,2017
653,Drawblogs,14500.0,1714389.567,401,Entertainment,2014
654,Boram Tube ToysReview [보람튜브 토이리뷰],14500.0,4977341.233,594,People & Blogs,2016
655,ГЛЕНТ,14500.0,1348701.796,276,People & Blogs,2019
656,Chad Wild Clay,14500.0,6550880.774,672,Comedy,2006
657,Maroon5VEVO,14500.0,19504313.99,143,Music,2009
658,Fifth Harmony,14500.0,7751539.43,67,Music,2013
659,EdisonPts,14500.0,6143402.014,3586,Gaming,2013
660,Martin Garrix,14500.0,5808342.927,344,Music,2011
661,ช่อง8 : Thai Ch8,14500.0,5593087.467,24640,Entertainment,2011
662,tuzelity SHUFFLE,14400.0,6357393.097,789,People & Blogs,2015
663,SelenaGomezVEVO,14400.0,10870572.483,186,Music,2009
664,Rclbeauty101,14400.0,3883284.516,462,Comedy,2010
665,SRK MUSIC,14400.0,5997482.749,4981,Music,2012
666,Ishaan Ali 11,14400.0,9189890.748,738,People & Blogs,2016
667,Auron,14400.0,3059203.675,849,People & Blogs,2013
668,Mazhavil Manorama,14400.0,15117993.815,79479,Entertainment,2011
669,Disney Junior,14400.0,14187667.699,3678,Entertainment,2008
670,Hear This Music,14400.0,8940817.106,39,Music,2016
671,A2 Motivation by Arvind Arora,14400.0,5820298.797,2109,Entertainment,2017
672,Mohamed Ramadan I محمد رمضان,14400.0,4988916.758,603,People & Blogs,2014
673,Super Polina,14400.0,4771050.637,550,People & Blogs,2014
674,Cyprien,14400.0,3058516.258,212,Comedy,2007
675,انصالة فاميلي I أنس و أصالة,14400.0,3018087.888,394,Entertainment,2017
676,Doc Tops,14300.0,2526772.821,461,Entertainment,2014
677,Rosanna Pansino,14300.0,4394010.355,1117,Howto & Style,2010
678,Camila Loures,14300.0,4434456.816,3716,Music,2014
679,The MriDul,14300.0,4096185.634,99,Comedy,2015
680,Трум Трум,14300.0,6637075.658,2132,Howto & Style,2015
681,Katakit Baby TV,14300.0,5874111.96,201,Music,2010
682,KOMPASTV,14300.0,11017123.984,247566,News & Politics,2013
683,50 Cent,14300.0,9397042.16,417,Music,2007
684,Infobells Bangla,14300.0,6997293.251,313,Education,2016
685,SIS vs BRO,14300.0,6888677.215,358,Entertainment,2016
686,Invento na Hora,14200.0,3965936.572,1235,Film & Animation,2014
687,5-Minute Crafts Recycle,14200.0,8311142.906,3311,People & Blogs,2019
688,MNCTV OFFICIAL,14200.0,7710118.787,59119,Entertainment,2012
689,dednahype,14200.0,14371935.871,1288,Comedy,2020
690,Aadishakti Films,14200.0,6127633.36,4715,Music,2016
691,TazerCraft,14200.0,5569896.333,4080,Gaming,2011
692,Saad Lamjarred | سعد لمجرد,14200.0,4131646.25,158,Music,2012
693,#Refugio Mental,14100.0,3552833.721,771,Entertainment,2013
694,NikkieTutorials,14100.0,1691511.702,868,Howto & Style,2008
695,Mis Pastelitos,14100.0,2528385.803,557,Howto & Style,2014
696,F2Freestylers - Ultimate Soccer Skills Channel,14100.0,3220088.124,769,Sports,2011
697,O Reino Infantil,14100.0,10597446.521,1133,Music,2014
698,Мастерская Настроения,14100.0,3822950.03,970,Entertainment,2013
699,Harry Styles,14100.0,5142974.416,14,People & Blogs,2017
700,PowerfulJRE,14100.0,2726284.666,900,People & Blogs,2013
701,MalumaVEVO,14100.0,18488368.574,178,Music,2011
702,ABC News,14100.0,12318156.082,76818,News & Politics,2006
703,GMM25Thailand,14100.0,8856354.509,61058,Entertainment,2011
704,Zig & Sharko,14100.0,8711928.313,905,Film & Animation,2015
705,Telemundo,14100.0,8244682.96,18845,Entertainment,2007
706,ماشا و الدب,14100.0,7354015.802,855,Shows,2017
707,PrestonPlayz,14100.0,5265772.406,810,Gaming,2018
708,Trap City,14100.0,5016399.043,2648,Music,2012
709,melanie martinez,14100.0,4047724.737,96,Music,2007
710,NOBRU,14000.0,270958.376,439,Gaming,2016
711,Juliana Baltar,14000.0,3515749.908,1701,Entertainment,2010
712,T-Series Hamaar Bhojpuri,14000.0,6912652.836,9581,Entertainment,2011
713,Like Nastya Stories,14000.0,6672523.68,420,Entertainment,2019
714,Bie The Ska,14000.0,4504795.627,1455,Entertainment,2006
715,AM3NlC,14000.0,4288139.576,4970,Gaming,2012
716,Danny Fitt,14000.0,8253769.668,1918,People & Blogs,2016
717,Neha Kakkar,13900.0,1983682.183,146,Music,2012
718,Narendra Modi,13900.0,2836181.682,18710,News & Politics,2007
719,Ray William Johnson,13900.0,8374851.581,1553,Entertainment,2008
720,ZEE5,13900.0,17357748.694,91455,Entertainment,2018
721,FFUNTV,13900.0,10702688.949,376,Gaming,2018
722,Sony Music South,13900.0,8688564.104,2310,Music,2014
723,Coke Studio,13900.0,3726465.679,562,Music,2014
724,DangMattSmith,13900.0,3227950.301,1555,Entertainment,2011
725,ADEL et SAMI,13800.0,5226046.399,449,Entertainment,2018
726,Narins Beauty,13800.0,2156402.599,423,Howto & Style,2014
727,BBC News,13800.0,4271647.649,17638,News & Politics,2006
728,Darkar Company Studios,13800.0,2217076.78,178,Film & Animation,2009
729,Wish 107.5,13800.0,5693295.409,1686,Music,2014
730,TV Ana Emilia,13800.0,4552220.396,594,People & Blogs,2014
731,MAIKI021,13700.0,1920198.785,3185,Entertainment,2008
732,StudyIQ IAS,13700.0,3563326.396,39430,Education,2015
733,Wesley Safadão,13700.0,7782535.015,421,Music,2009
734,Crazy Frog,13700.0,7481698.355,37,Music,2009
735,123 GO! Spanish,13700.0,4888486.192,430,People & Blogs,2019
736,Wengie,13600.0,1889986.082,417,Howto & Style,2010
737,Lindsey Stirling,13600.0,3669507.692,199,Music,2007
738,PlayHard,13600.0,2030015.052,2219,Gaming,2014
739,Atlantic Records,13600.0,12044547.999,1515,Music,2006
740,Gallina Pintadita,13600.0,9291287.807,61,Music,2011
741,ETV Jabardasth,13600.0,12840331.565,8606,People & Blogs,2015
742,Sony LIV,13600.0,6573168.399,9967,Entertainment,2014
743,FAPTV,13600.0,5262239.316,694,Comedy,2014
744,infobells,13600.0,5084391.683,470,Education,2011
745,sagar kalra (Shorts),13500.0,5733081.767,412,People & Blogs,2017
746,JD Pantoja,13500.0,1434862.175,16,People & Blogs,2017
747,Netflix Jr.,13500.0,8213138.892,1759,Education,2012
748,MyMissAnand,13500.0,4776508.842,304,People & Blogs,2014
749,Rebecca Zamolo,13500.0,5590043.35,907,Comedy,2011
750,Crescendo com Luluca,13500.0,4701572.174,1209,Entertainment,2015
751,The World Adventures हिन्दी,13500.0,2131117.366,943,People & Blogs,2016
752,Veritasium,13400.0,1984254.566,353,Education,2010
753,NishaMadhulika,13400.0,2809226.856,2108,Howto & Style,2009
754,Поззи,13400.0,6659041.478,3118,People & Blogs,2012
755,Desi Gamers,13400.0,2041133.74,1325,Gaming,2015
756,DeGoBooM,13400.0,5350502.091,3545,Gaming,2014
757,AzzyLand,13400.0,6132370.938,1631,Gaming,2015
758,T-Series Regional,13400.0,4983556.575,15044,Entertainment,2011
759,Conor Maynard,13300.0,2675655.852,289,Music,2006
760,Anaysa,13300.0,3295560.358,516,Howto & Style,2012
761,Kurt Hugo Schneider,13300.0,3709012.899,693,Entertainment,2007
762,The Q,13300.0,4194254.624,290,People & Blogs,2017
763,H2ODelirious,13300.0,4294532.214,3328,Gaming,2007
764,Saturday Night Live,13300.0,14184026.837,8209,Entertainment,2013
765,BBC,13300.0,9343834.157,14336,Pets & Animals,2005
766,Vlad and Niki PRT,13300.0,6008608.454,467,,2018
767,Zee Telugu,13300.0,10196062.139,108223,Entertainment,2008
768,karameeshchannel,13300.0,8961888.814,2184,Entertainment,2012
769,Jazzghost,13300.0,5142588.957,5329,Gaming,2012
770,ATHLEAN-X™,13200.0,2242104.965,1318,Howto & Style,2006
771,Mrwhosetheboss,13200.0,2652218.867,1500,Science & Technology,2011
772,theRadBrad,13200.0,5944664.337,7984,Gaming,2006
773,Typical Gamer,13200.0,4089506.333,4088,Gaming,2008
774,jbalvinVEVO,13200.0,20271355.247,235,Music,2010
775,Come Play With Me,13200.0,15593943.573,389,Entertainment,2014
776,Meghan Trainor,13200.0,7874825.319,157,People & Blogs,2008
777,Lady Diana,13200.0,7873100.97,1353,Entertainment,2016
778,Kids TV India Hindi Nursery Rhymes,13200.0,6255571.838,1287,Shows,2014
779,JOJO TV - Hindi Stories,13200.0,4978198.612,1011,Education,2016
780,Hacksmith Industries,13100.0,1450207.431,796,Science & Technology,2006
781,DALLMYD,13100.0,1778582.132,403,Sports,2011
782,Goldmines Premiere,13100.0,1799223.034,671,Entertainment,2013
783,أترو/Atro,13100.0,2260440.755,1737,Gaming,2017
784,Mythpat,13100.0,2817527.012,339,Entertainment,2018
785,Matt Steffanina,13100.0,3146685.34,525,Entertainment,2011
786,Indore Physical Academy,13100.0,3689900.702,1538,People & Blogs,2014
787,Colors Rishtey,13100.0,10893699.184,18823,Entertainment,2013
788,O Que Não Dizer Oficial,13100.0,1740425.818,584,Comedy,2015
789,Alex Gonzaga Official,13100.0,1363995.435,254,People & Blogs,2017
790,The LaBrant Fam,13100.0,4581487.676,598,Comedy,2012
791,VexTrex,13100.0,7778296.252,3548,Entertainment,2014
792,Jamuna TV,13100.0,11082579.048,98288,News & Politics,2017
793,Zee Bangla,13100.0,8412012.564,103896,Entertainment,2008
794,RedeTV,13100.0,5253877.455,34055,Entertainment,2011
795,Calon Sarjana,13000.0,10664.585,29,Entertainment,2016
796,Everson Zoio,13000.0,1006409.92,598,Comedy,2009
797,CookingShooking Hindi,13000.0,1691433.306,393,People & Blogs,2017
798,Brawl Stars,13000.0,1957232.165,155,Gaming,2017
799,Ei Nerd,13000.0,3418150.935,5698,Entertainment,2013
800,twenty one pilots,13000.0,4970538.609,182,Music,2009
801,Matheus Yurley,13000.0,139581.001,68,Entertainment,2015
802,Think Music India,13000.0,10046678.763,4502,Music,2009
803,TV9 Bharatvarsh,13000.0,8860181.525,237316,People & Blogs,2018
804,RS 1313 SHORTS,13000.0,6870122.847,4740,Entertainment,2020
805,Компот,13000.0,6785438.613,2041,Gaming,2013
806,Lana Del Rey,13000.0,6240612.595,40,Music,2011
807,Awakening Music,13000.0,5225871.743,748,Music,2006
808,Hungria Hip Hop,12900.0,4334451.534,60,Music,2013
809,The Shiny Peanut,12900.0,2841936.598,2337,Education,2016
810,Wolfoo Channel,12900.0,3425367.82,628,,2019
811,E-MasterSensei,12900.0,3618920.326,1237,Gaming,2016
812,7 Minutoz,12900.0,4175721.588,521,Music,2012
813,Peppa Pig em Português Brasil - Canal Oficial,12900.0,4084722.309,1244,Film & Animation,2014
814,Влад и Никита,12900.0,7840315.766,454,,2018
815,Top Viral Talent,12900.0,3858930.578,1884,Entertainment,2014
816,Knowledge Tv हिन्दी,12900.0,1791728.203,1776,People & Blogs,2014
817,BIBO와 장난감,12900.0,3105268.086,172,Entertainment,2016
818,DJ Khaled,12900.0,6430268.499,59,Music,2018
819,EnriqueIglesiasVEVO,12900.0,15056636.648,136,Music,2009
820,GMA News,12900.0,11295339.014,344119,News & Politics,2007
821,Codiscos,12900.0,10874570.247,7197,Music,2007
822,The Dodo,12900.0,8783126.715,7446,Pets & Animals,2014
823,Luli Pampín,12900.0,7268103.979,269,Music,2012
824,Heroindori,12900.0,6714371.157,354,Comedy,2020
825,Geo News,12900.0,5035733.443,175046,News & Politics,2007
826,Lokdhun Punjabi,12900.0,4571517.426,1400,Music,2010
827,Trakin Tech,12800.0,2044974.487,3468,Science & Technology,2011
828,Ami Rodriguez,12800.0,2091673.156,378,Entertainment,2009
829,gymvirtual,12800.0,2439342.48,1501,Sports,2010
830,Kabita's Kitchen,12800.0,2538035.623,1342,Howto & Style,2014
831,My Mate Nate,12800.0,3054846.21,1127,Comedy,2014
832,Sonotek Bhakti,12800.0,3920921.7,7774,Entertainment,2010
833,The Infographics Show,12800.0,4919515.337,3854,Education,2011
834,Yudist Ardhana,12800.0,4938911.395,2442,Entertainment,2016
835,Kids Line♡キッズライン,12800.0,8424199.62,2398,People & Blogs,2011
836,Blockbuster Movies,12800.0,2542653.879,478,Entertainment,2016
837,#Refúgio Mental,12800.0,2665030.983,826,Entertainment,2013
838,Koray Zeynep,12800.0,15243977.434,12793,People & Blogs,2016
839,BeyoncéVEVO,12800.0,13710377.798,168,Music,2009
840,JesseAndMike,12800.0,9558903.335,662,Entertainment,2007
841,Priyal Kukreja,12800.0,8200768.163,627,People & Blogs,2021
842,MrSuicideSheep,12800.0,6869537.426,3350,Entertainment,2010
843,jaanvi patel,12700.0,5666750.607,431,People & Blogs,2018
844,RaptorGamer,12700.0,2722656.071,1312,People & Blogs,2016
845,Technology Gyan,12700.0,1038434.643,971,Science & Technology,2015
846,Troom Troom India,12700.0,6635333.122,2208,Howto & Style,2015
847,Луномосик,12700.0,5937787.267,545,People & Blogs,2015
848,Melon City Show - برنامج ولاية بطيخ,12700.0,5706484.054,1715,Comedy,2016
849,BanderitaX,12700.0,3730242.831,1566,Gaming,2013
850,Piuzinho,12600.0,1062293.914,485,Gaming,2015
851,Davie504,12600.0,2510509.267,810,Entertainment,2011
852,Eli Kids - Cartoons & Songs,12600.0,3862954.898,464,,2018
853,Adexe & Nau,12600.0,4522774.051,586,Music,2013
854,Blossom,12600.0,4547941.444,684,Howto & Style,2017
855,THE BROWN SIBLINGS,12600.0,7624061.819,782,Entertainment,2016
856,Health Time,12600.0,993351.13,1694,Howto & Style,2016
